configuration,window,split,type,size,defects
1,13,13,test,229,78
1,13,13,test,965,188
1,13,13,test,385,248
1,13,13,test,256,86
1,13,13,test,157,16
1,13,13,test,214,142
1,13,13,test,608,216
1,13,13,test,314,37
1,13,13,test,222,60
1,13,13,test,352,40
1,13,13,test,51,10
1,13,13,test,872,145
1,13,13,test,237,141
1,13,13,test,339,13
1,13,14,tr,8604,3413
1,13,14,test,608,216
1,13,14,test,10,5
1,13,14,test,340,203
1,13,14,test,229,78
1,13,14,test,965,188
1,13,14,test,222,60
1,13,14,test,352,40
1,13,14,test,872,145
1,13,14,test,256,86
1,13,14,test,339,13
1,13,15,tr,10243,4363
1,13,15,test,608,216
1,13,15,test,10,5
1,13,15,test,340,203
1,13,15,test,229,78
1,13,15,test,965,188
1,13,15,test,352,40
1,13,15,test,872,145
1,13,15,test,256,86
1,13,15,test,339,13
1,13,16,tr,10012,4354
1,13,16,test,608,216
1,13,16,test,340,203
1,13,16,test,229,78
1,13,16,test,965,188
1,13,16,test,352,40
1,13,16,test,872,145
1,13,16,test,339,13
1,13,17,tr,9446,3937
1,13,17,test,608,216
1,13,17,test,965,188
1,13,17,test,352,40
1,13,17,test,872,145
1,13,17,test,339,13
1,14,1,tr,162,77
1,14,1,test,247,144
1,14,1,test,723,110
1,14,1,test,442,281
1,14,1,test,135,34
1,14,1,test,858,77
1,14,1,test,6,1
1,14,1,test,178,40
1,14,1,test,214,142
1,14,1,test,803,387
1,14,1,test,111,63
1,14,1,test,314,37
1,14,1,test,453,69
1,14,1,test,293,32
1,14,1,test,885,411
1,14,1,test,205,189
1,14,1,test,32,2
1,14,1,test,26,20
1,14,1,test,196,147
1,14,1,test,385,248
1,14,1,test,588,437
1,14,1,test,351,92
1,14,1,test,909,898
1,14,1,test,157,16
1,14,1,test,109,37
1,14,1,test,222,60
1,14,1,test,745,166
1,14,1,test,195,91
1,14,1,test,51,10
1,14,1,test,29,5
1,14,1,test,237,141
1,14,1,test,125,20
1,14,1,test,241,16
1,14,2,tr,602,148
1,14,2,test,247,144
1,14,2,test,723,110
1,14,2,test,442,281
1,14,2,test,10,5
1,14,2,test,135,34
1,14,2,test,858,77
1,14,2,test,6,1
1,14,2,test,256,86
1,14,2,test,178,40
1,14,2,test,214,142
1,14,2,test,803,387
1,14,2,test,111,63
1,14,2,test,314,37
1,14,2,test,293,32
1,14,2,test,885,411
1,14,2,test,205,189
1,14,2,test,32,2
1,14,2,test,26,20
1,14,2,test,196,147
1,14,2,test,385,248
1,14,2,test,588,437
1,14,2,test,351,92
1,14,2,test,909,898
1,14,2,test,157,16
1,14,2,test,109,37
1,14,2,test,222,60
1,14,2,test,745,166
1,14,2,test,195,91
1,14,2,test,51,10
1,14,2,test,29,5
1,14,2,test,237,141
1,14,2,test,125,20
1,14,2,test,241,16
1,14,3,tr,1055,217
1,14,3,test,247,144
1,14,3,test,723,110
1,14,3,test,442,281
1,14,3,test,10,5
1,14,3,test,229,78
1,14,3,test,858,77
1,14,3,test,6,1
1,14,3,test,256,86
1,14,3,test,178,40
1,14,3,test,214,142
1,14,3,test,803,387
1,14,3,test,111,63
1,14,3,test,314,37
1,14,3,test,293,32
1,14,3,test,885,411
1,14,3,test,205,189
1,14,3,test,32,2
1,14,3,test,26,20
1,14,3,test,340,203
1,14,3,test,196,147
1,14,3,test,385,248
1,14,3,test,351,92
1,14,3,test,909,898
1,14,3,test,157,16
1,14,3,test,222,60
1,14,3,test,745,166
1,14,3,test,195,91
1,14,3,test,51,10
1,14,3,test,29,5
1,14,3,test,237,141
1,14,3,test,125,20
1,14,3,test,241,16
1,14,4,tr,1887,725
1,14,4,test,247,144
1,14,4,test,723,110
1,14,4,test,442,281
1,14,4,test,10,5
1,14,4,test,229,78
1,14,4,test,858,77
1,14,4,test,6,1
1,14,4,test,256,86
1,14,4,test,178,40
1,14,4,test,214,142
1,14,4,test,803,387
1,14,4,test,111,63
1,14,4,test,608,216
1,14,4,test,314,37
1,14,4,test,293,32
1,14,4,test,885,411
1,14,4,test,339,13
1,14,4,test,32,2
1,14,4,test,26,20
1,14,4,test,340,203
1,14,4,test,965,188
1,14,4,test,196,147
1,14,4,test,385,248
1,14,4,test,351,92
1,14,4,test,909,898
1,14,4,test,157,16
1,14,4,test,222,60
1,14,4,test,352,40
1,14,4,test,745,166
1,14,4,test,195,91
1,14,4,test,51,10
1,14,4,test,872,145
1,14,4,test,29,5
1,14,4,test,237,141
1,14,4,test,125,20
1,14,4,test,241,16
1,14,5,tr,2092,914
1,14,5,test,247,144
1,14,5,test,442,281
1,14,5,test,10,5
1,14,5,test,229,78
1,14,5,test,858,77
1,14,5,test,6,1
1,14,5,test,256,86
1,14,5,test,178,40
1,14,5,test,214,142
1,14,5,test,803,387
1,14,5,test,111,63
1,14,5,test,608,216
1,14,5,test,314,37
1,14,5,test,293,32
1,14,5,test,885,411
1,14,5,test,339,13
1,14,5,test,32,2
1,14,5,test,26,20
1,14,5,test,340,203
1,14,5,test,965,188
1,14,5,test,196,147
1,14,5,test,385,248
1,14,5,test,351,92
1,14,5,test,909,898
1,14,5,test,157,16
1,14,5,test,222,60
1,14,5,test,352,40
1,14,5,test,745,166
1,14,5,test,195,91
1,14,5,test,51,10
1,14,5,test,872,145
1,14,5,test,29,5
1,14,5,test,237,141
1,14,5,test,125,20
1,14,5,test,241,16
1,14,6,tr,2815,1024
1,14,6,test,247,144
1,14,6,test,442,281
1,14,6,test,10,5
1,14,6,test,229,78
1,14,6,test,858,77
1,14,6,test,6,1
1,14,6,test,256,86
1,14,6,test,178,40
1,14,6,test,214,142
1,14,6,test,111,63
1,14,6,test,608,216
1,14,6,test,314,37
1,14,6,test,293,32
1,14,6,test,885,411
1,14,6,test,339,13
1,14,6,test,32,2
1,14,6,test,26,20
1,14,6,test,340,203
1,14,6,test,965,188
1,14,6,test,196,147
1,14,6,test,385,248
1,14,6,test,351,92
1,14,6,test,909,898
1,14,6,test,157,16
1,14,6,test,222,60
1,14,6,test,352,40
1,14,6,test,745,166
1,14,6,test,195,91
1,14,6,test,51,10
1,14,6,test,872,145
1,14,6,test,29,5
1,14,6,test,237,141
1,14,6,test,125,20
1,14,6,test,241,16
1,14,7,tr,3618,1411
1,14,7,test,247,144
1,14,7,test,442,281
1,14,7,test,10,5
1,14,7,test,229,78
1,14,7,test,858,77
1,14,7,test,6,1
1,14,7,test,256,86
1,14,7,test,214,142
1,14,7,test,111,63
1,14,7,test,608,216
1,14,7,test,314,37
1,14,7,test,885,411
1,14,7,test,339,13
1,14,7,test,32,2
1,14,7,test,26,20
1,14,7,test,340,203
1,14,7,test,965,188
1,14,7,test,196,147
1,14,7,test,385,248
1,14,7,test,909,898
1,14,7,test,157,16
1,14,7,test,222,60
1,14,7,test,352,40
1,14,7,test,745,166
1,14,7,test,195,91
1,14,7,test,51,10
1,14,7,test,872,145
1,14,7,test,29,5
1,14,7,test,237,141
1,14,7,test,241,16
1,14,8,tr,4565,1595
1,14,8,test,247,144
1,14,8,test,442,281
1,14,8,test,10,5
1,14,8,test,229,78
1,14,8,test,858,77
1,14,8,test,6,1
1,14,8,test,256,86
1,14,8,test,214,142
1,14,8,test,111,63
1,14,8,test,608,216
1,14,8,test,314,37
1,14,8,test,339,13
1,14,8,test,32,2
1,14,8,test,340,203
1,14,8,test,965,188
1,14,8,test,196,147
1,14,8,test,385,248
1,14,8,test,909,898
1,14,8,test,157,16
1,14,8,test,222,60
1,14,8,test,352,40
1,14,8,test,745,166
1,14,8,test,195,91
1,14,8,test,51,10
1,14,8,test,872,145
1,14,8,test,29,5
1,14,8,test,237,141
1,14,8,test,241,16
1,14,9,tr,5476,2026
1,14,9,test,247,144
1,14,9,test,442,281
1,14,9,test,10,5
1,14,9,test,229,78
1,14,9,test,858,77
1,14,9,test,256,86
1,14,9,test,214,142
1,14,9,test,111,63
1,14,9,test,608,216
1,14,9,test,314,37
1,14,9,test,339,13
1,14,9,test,32,2
1,14,9,test,340,203
1,14,9,test,965,188
1,14,9,test,196,147
1,14,9,test,385,248
1,14,9,test,909,898
1,14,9,test,157,16
1,14,9,test,222,60
1,14,9,test,352,40
1,14,9,test,745,166
1,14,9,test,195,91
1,14,9,test,51,10
1,14,9,test,872,145
1,14,9,test,29,5
1,14,9,test,237,141
1,14,9,test,241,16
1,14,10,tr,5482,2027
1,14,10,test,247,144
1,14,10,test,442,281
1,14,10,test,10,5
1,14,10,test,229,78
1,14,10,test,858,77
1,14,10,test,256,86
1,14,10,test,214,142
1,14,10,test,608,216
1,14,10,test,314,37
1,14,10,test,339,13
1,14,10,test,32,2
1,14,10,test,340,203
1,14,10,test,965,188
1,14,10,test,196,147
1,14,10,test,385,248
1,14,10,test,909,898
1,14,10,test,157,16
1,14,10,test,222,60
1,14,10,test,352,40
1,14,10,test,745,166
1,14,10,test,195,91
1,14,10,test,51,10
1,14,10,test,872,145
1,14,10,test,237,141
1,14,10,test,241,16
1,14,11,tr,5622,2095
1,14,11,test,247,144
1,14,11,test,442,281
1,14,11,test,32,2
1,14,11,test,10,5
1,14,11,test,340,203
1,14,11,test,229,78
1,14,11,test,965,188
1,14,11,test,858,77
1,14,11,test,196,147
1,14,11,test,385,248
1,14,11,test,256,86
1,14,11,test,157,16
1,14,11,test,214,142
1,14,11,test,608,216
1,14,11,test,314,37
1,14,11,test,222,60
1,14,11,test,352,40
1,14,11,test,745,166
1,14,11,test,195,91
1,14,11,test,51,10
1,14,11,test,872,145
1,14,11,test,237,141
1,14,11,test,241,16
1,14,11,test,339,13
1,14,12,tr,6531,2993
1,14,12,test,247,144
1,14,12,test,442,281
1,14,12,test,32,2
1,14,12,test,10,5
1,14,12,test,340,203
1,14,12,test,229,78
1,14,12,test,965,188
1,14,12,test,858,77
1,14,12,test,196,147
1,14,12,test,385,248
1,14,12,test,256,86
1,14,12,test,157,16
1,14,12,test,214,142
1,14,12,test,608,216
1,14,12,test,314,37
1,14,12,test,222,60
1,14,12,test,352,40
1,14,12,test,745,166
1,14,12,test,51,10
1,14,12,test,872,145
1,14,12,test,237,141
1,14,12,test,241,16
1,14,12,test,339,13
1,14,13,tr,6726,3084
1,14,13,test,247,144
1,14,13,test,442,281
1,14,13,test,32,2
1,14,13,test,10,5
1,14,13,test,340,203
1,14,13,test,229,78
1,14,13,test,965,188
1,14,13,test,385,248
1,14,13,test,256,86
1,14,13,test,157,16
1,14,13,test,214,142
1,14,13,test,608,216
1,14,13,test,314,37
1,14,13,test,222,60
1,14,13,test,352,40
1,14,13,test,51,10
1,14,13,test,872,145
1,14,13,test,237,141
1,14,13,test,339,13
1,14,14,tr,8766,3490
1,14,14,test,608,216
1,14,14,test,10,5
1,14,14,test,340,203
1,14,14,test,229,78
1,14,14,test,965,188
1,14,14,test,222,60
1,14,14,test,352,40
1,14,14,test,872,145
1,14,14,test,256,86
1,14,14,test,339,13
1,14,15,tr,10683,4434
1,14,15,test,608,216
1,14,15,test,10,5
1,14,15,test,340,203
1,14,15,test,229,78
1,14,15,test,965,188
1,14,15,test,352,40
1,14,15,test,872,145
1,14,15,test,256,86
1,14,15,test,339,13
1,14,16,tr,10465,4423
1,14,16,test,608,216
1,14,16,test,340,203
1,14,16,test,229,78
1,14,16,test,965,188
1,14,16,test,352,40
1,14,16,test,872,145
1,14,16,test,339,13
1,14,17,tr,10278,4445
1,14,17,test,608,216
1,14,17,test,965,188
1,14,17,test,352,40
1,14,17,test,872,145
1,14,17,test,339,13
1,15,1,tr,162,77
1,15,1,test,247,144
1,15,1,test,723,110
1,15,1,test,442,281
1,15,1,test,10,5
1,15,1,test,135,34
1,15,1,test,858,77
1,15,1,test,6,1
1,15,1,test,256,86
1,15,1,test,178,40
1,15,1,test,214,142
1,15,1,test,803,387
1,15,1,test,111,63
1,15,1,test,314,37
1,15,1,test,453,69
1,15,1,test,293,32
1,15,1,test,885,411
1,15,1,test,205,189
1,15,1,test,32,2
1,15,1,test,26,20
1,15,1,test,196,147
1,15,1,test,385,248
1,15,1,test,588,437
1,15,1,test,351,92
1,15,1,test,909,898
1,15,1,test,157,16
1,15,1,test,109,37
1,15,1,test,222,60
1,15,1,test,745,166
1,15,1,test,195,91
1,15,1,test,51,10
1,15,1,test,29,5
1,15,1,test,237,141
1,15,1,test,125,20
1,15,1,test,241,16
1,15,2,tr,602,148
1,15,2,test,247,144
1,15,2,test,723,110
1,15,2,test,442,281
1,15,2,test,10,5
1,15,2,test,229,78
1,15,2,test,135,34
1,15,2,test,858,77
1,15,2,test,6,1
1,15,2,test,256,86
1,15,2,test,178,40
1,15,2,test,214,142
1,15,2,test,803,387
1,15,2,test,111,63
1,15,2,test,314,37
1,15,2,test,293,32
1,15,2,test,885,411
1,15,2,test,205,189
1,15,2,test,32,2
1,15,2,test,26,20
1,15,2,test,340,203
1,15,2,test,196,147
1,15,2,test,385,248
1,15,2,test,588,437
1,15,2,test,351,92
1,15,2,test,909,898
1,15,2,test,157,16
1,15,2,test,109,37
1,15,2,test,222,60
1,15,2,test,745,166
1,15,2,test,195,91
1,15,2,test,51,10
1,15,2,test,29,5
1,15,2,test,237,141
1,15,2,test,125,20
1,15,2,test,241,16
1,15,3,tr,1055,217
1,15,3,test,247,144
1,15,3,test,723,110
1,15,3,test,442,281
1,15,3,test,10,5
1,15,3,test,229,78
1,15,3,test,858,77
1,15,3,test,6,1
1,15,3,test,256,86
1,15,3,test,178,40
1,15,3,test,214,142
1,15,3,test,803,387
1,15,3,test,111,63
1,15,3,test,608,216
1,15,3,test,314,37
1,15,3,test,293,32
1,15,3,test,885,411
1,15,3,test,339,13
1,15,3,test,205,189
1,15,3,test,32,2
1,15,3,test,26,20
1,15,3,test,340,203
1,15,3,test,965,188
1,15,3,test,196,147
1,15,3,test,385,248
1,15,3,test,351,92
1,15,3,test,909,898
1,15,3,test,157,16
1,15,3,test,222,60
1,15,3,test,352,40
1,15,3,test,745,166
1,15,3,test,195,91
1,15,3,test,51,10
1,15,3,test,872,145
1,15,3,test,29,5
1,15,3,test,237,141
1,15,3,test,125,20
1,15,3,test,241,16
1,15,4,tr,1887,725
1,15,4,test,247,144
1,15,4,test,723,110
1,15,4,test,442,281
1,15,4,test,10,5
1,15,4,test,229,78
1,15,4,test,858,77
1,15,4,test,6,1
1,15,4,test,256,86
1,15,4,test,178,40
1,15,4,test,214,142
1,15,4,test,803,387
1,15,4,test,111,63
1,15,4,test,608,216
1,15,4,test,314,37
1,15,4,test,293,32
1,15,4,test,885,411
1,15,4,test,339,13
1,15,4,test,32,2
1,15,4,test,26,20
1,15,4,test,340,203
1,15,4,test,965,188
1,15,4,test,196,147
1,15,4,test,385,248
1,15,4,test,351,92
1,15,4,test,909,898
1,15,4,test,157,16
1,15,4,test,222,60
1,15,4,test,352,40
1,15,4,test,745,166
1,15,4,test,195,91
1,15,4,test,51,10
1,15,4,test,872,145
1,15,4,test,29,5
1,15,4,test,237,141
1,15,4,test,125,20
1,15,4,test,241,16
1,15,5,tr,2092,914
1,15,5,test,247,144
1,15,5,test,442,281
1,15,5,test,10,5
1,15,5,test,229,78
1,15,5,test,858,77
1,15,5,test,6,1
1,15,5,test,256,86
1,15,5,test,178,40
1,15,5,test,214,142
1,15,5,test,803,387
1,15,5,test,111,63
1,15,5,test,608,216
1,15,5,test,314,37
1,15,5,test,293,32
1,15,5,test,885,411
1,15,5,test,339,13
1,15,5,test,32,2
1,15,5,test,26,20
1,15,5,test,340,203
1,15,5,test,965,188
1,15,5,test,196,147
1,15,5,test,385,248
1,15,5,test,351,92
1,15,5,test,909,898
1,15,5,test,157,16
1,15,5,test,222,60
1,15,5,test,352,40
1,15,5,test,745,166
1,15,5,test,195,91
1,15,5,test,51,10
1,15,5,test,872,145
1,15,5,test,29,5
1,15,5,test,237,141
1,15,5,test,125,20
1,15,5,test,241,16
1,15,6,tr,2815,1024
1,15,6,test,247,144
1,15,6,test,442,281
1,15,6,test,10,5
1,15,6,test,229,78
1,15,6,test,858,77
1,15,6,test,6,1
1,15,6,test,256,86
1,15,6,test,178,40
1,15,6,test,214,142
1,15,6,test,111,63
1,15,6,test,608,216
1,15,6,test,314,37
1,15,6,test,293,32
1,15,6,test,885,411
1,15,6,test,339,13
1,15,6,test,32,2
1,15,6,test,26,20
1,15,6,test,340,203
1,15,6,test,965,188
1,15,6,test,196,147
1,15,6,test,385,248
1,15,6,test,351,92
1,15,6,test,909,898
1,15,6,test,157,16
1,15,6,test,222,60
1,15,6,test,352,40
1,15,6,test,745,166
1,15,6,test,195,91
1,15,6,test,51,10
1,15,6,test,872,145
1,15,6,test,29,5
1,15,6,test,237,141
1,15,6,test,125,20
1,15,6,test,241,16
1,15,7,tr,3618,1411
1,15,7,test,247,144
1,15,7,test,442,281
1,15,7,test,10,5
1,15,7,test,229,78
1,15,7,test,858,77
1,15,7,test,6,1
1,15,7,test,256,86
1,15,7,test,214,142
1,15,7,test,111,63
1,15,7,test,608,216
1,15,7,test,314,37
1,15,7,test,885,411
1,15,7,test,339,13
1,15,7,test,32,2
1,15,7,test,26,20
1,15,7,test,340,203
1,15,7,test,965,188
1,15,7,test,196,147
1,15,7,test,385,248
1,15,7,test,909,898
1,15,7,test,157,16
1,15,7,test,222,60
1,15,7,test,352,40
1,15,7,test,745,166
1,15,7,test,195,91
1,15,7,test,51,10
1,15,7,test,872,145
1,15,7,test,29,5
1,15,7,test,237,141
1,15,7,test,241,16
1,15,8,tr,4565,1595
1,15,8,test,247,144
1,15,8,test,442,281
1,15,8,test,10,5
1,15,8,test,229,78
1,15,8,test,858,77
1,15,8,test,6,1
1,15,8,test,256,86
1,15,8,test,214,142
1,15,8,test,111,63
1,15,8,test,608,216
1,15,8,test,314,37
1,15,8,test,339,13
1,15,8,test,32,2
1,15,8,test,340,203
1,15,8,test,965,188
1,15,8,test,196,147
1,15,8,test,385,248
1,15,8,test,909,898
1,15,8,test,157,16
1,15,8,test,222,60
1,15,8,test,352,40
1,15,8,test,745,166
1,15,8,test,195,91
1,15,8,test,51,10
1,15,8,test,872,145
1,15,8,test,29,5
1,15,8,test,237,141
1,15,8,test,241,16
1,15,9,tr,5476,2026
1,15,9,test,247,144
1,15,9,test,442,281
1,15,9,test,10,5
1,15,9,test,229,78
1,15,9,test,858,77
1,15,9,test,256,86
1,15,9,test,214,142
1,15,9,test,111,63
1,15,9,test,608,216
1,15,9,test,314,37
1,15,9,test,339,13
1,15,9,test,32,2
1,15,9,test,340,203
1,15,9,test,965,188
1,15,9,test,196,147
1,15,9,test,385,248
1,15,9,test,909,898
1,15,9,test,157,16
1,15,9,test,222,60
1,15,9,test,352,40
1,15,9,test,745,166
1,15,9,test,195,91
1,15,9,test,51,10
1,15,9,test,872,145
1,15,9,test,29,5
1,15,9,test,237,141
1,15,9,test,241,16
1,15,10,tr,5482,2027
1,15,10,test,247,144
1,15,10,test,442,281
1,15,10,test,10,5
1,15,10,test,229,78
1,15,10,test,858,77
1,15,10,test,256,86
1,15,10,test,214,142
1,15,10,test,608,216
1,15,10,test,314,37
1,15,10,test,339,13
1,15,10,test,32,2
1,15,10,test,340,203
1,15,10,test,965,188
1,15,10,test,196,147
1,15,10,test,385,248
1,15,10,test,909,898
1,15,10,test,157,16
1,15,10,test,222,60
1,15,10,test,352,40
1,15,10,test,745,166
1,15,10,test,195,91
1,15,10,test,51,10
1,15,10,test,872,145
1,15,10,test,237,141
1,15,10,test,241,16
1,15,11,tr,5622,2095
1,15,11,test,247,144
1,15,11,test,442,281
1,15,11,test,32,2
1,15,11,test,10,5
1,15,11,test,340,203
1,15,11,test,229,78
1,15,11,test,965,188
1,15,11,test,858,77
1,15,11,test,196,147
1,15,11,test,385,248
1,15,11,test,256,86
1,15,11,test,157,16
1,15,11,test,214,142
1,15,11,test,608,216
1,15,11,test,314,37
1,15,11,test,222,60
1,15,11,test,352,40
1,15,11,test,745,166
1,15,11,test,195,91
1,15,11,test,51,10
1,15,11,test,872,145
1,15,11,test,237,141
1,15,11,test,241,16
1,15,11,test,339,13
1,15,12,tr,6531,2993
1,15,12,test,247,144
1,15,12,test,442,281
1,15,12,test,32,2
1,15,12,test,10,5
1,15,12,test,340,203
1,15,12,test,229,78
1,15,12,test,965,188
1,15,12,test,858,77
1,15,12,test,196,147
1,15,12,test,385,248
1,15,12,test,256,86
1,15,12,test,157,16
1,15,12,test,214,142
1,15,12,test,608,216
1,15,12,test,314,37
1,15,12,test,222,60
1,15,12,test,352,40
1,15,12,test,745,166
1,15,12,test,51,10
1,15,12,test,872,145
1,15,12,test,237,141
1,15,12,test,241,16
1,15,12,test,339,13
1,15,13,tr,6726,3084
1,15,13,test,247,144
1,15,13,test,442,281
1,15,13,test,32,2
1,15,13,test,10,5
1,15,13,test,340,203
1,15,13,test,229,78
1,15,13,test,965,188
1,15,13,test,385,248
1,15,13,test,256,86
1,15,13,test,157,16
1,15,13,test,214,142
1,15,13,test,608,216
1,15,13,test,314,37
1,15,13,test,222,60
1,15,13,test,352,40
1,15,13,test,51,10
1,15,13,test,872,145
1,15,13,test,237,141
1,15,13,test,339,13
1,15,14,tr,8766,3490
1,15,14,test,608,216
1,15,14,test,10,5
1,15,14,test,340,203
1,15,14,test,229,78
1,15,14,test,965,188
1,15,14,test,222,60
1,15,14,test,352,40
1,15,14,test,872,145
1,15,14,test,256,86
1,15,14,test,339,13
1,15,15,tr,10845,4511
1,15,15,test,608,216
1,15,15,test,10,5
1,15,15,test,340,203
1,15,15,test,229,78
1,15,15,test,965,188
1,15,15,test,352,40
1,15,15,test,872,145
1,15,15,test,256,86
1,15,15,test,339,13
1,15,16,tr,10905,4494
1,15,16,test,608,216
1,15,16,test,340,203
1,15,16,test,229,78
1,15,16,test,965,188
1,15,16,test,352,40
1,15,16,test,872,145
1,15,16,test,339,13
1,15,17,tr,10731,4514
1,15,17,test,608,216
1,15,17,test,965,188
1,15,17,test,352,40
1,15,17,test,872,145
1,15,17,test,339,13
1,16,1,tr,162,77
1,16,1,test,247,144
1,16,1,test,723,110
1,16,1,test,442,281
1,16,1,test,10,5
1,16,1,test,229,78
1,16,1,test,135,34
1,16,1,test,858,77
1,16,1,test,6,1
1,16,1,test,256,86
1,16,1,test,178,40
1,16,1,test,214,142
1,16,1,test,803,387
1,16,1,test,111,63
1,16,1,test,314,37
1,16,1,test,453,69
1,16,1,test,293,32
1,16,1,test,885,411
1,16,1,test,205,189
1,16,1,test,32,2
1,16,1,test,26,20
1,16,1,test,340,203
1,16,1,test,196,147
1,16,1,test,385,248
1,16,1,test,588,437
1,16,1,test,351,92
1,16,1,test,909,898
1,16,1,test,157,16
1,16,1,test,109,37
1,16,1,test,222,60
1,16,1,test,745,166
1,16,1,test,195,91
1,16,1,test,51,10
1,16,1,test,29,5
1,16,1,test,237,141
1,16,1,test,125,20
1,16,1,test,241,16
1,16,2,tr,602,148
1,16,2,test,247,144
1,16,2,test,723,110
1,16,2,test,442,281
1,16,2,test,10,5
1,16,2,test,229,78
1,16,2,test,135,34
1,16,2,test,858,77
1,16,2,test,6,1
1,16,2,test,256,86
1,16,2,test,178,40
1,16,2,test,214,142
1,16,2,test,803,387
1,16,2,test,111,63
1,16,2,test,608,216
1,16,2,test,314,37
1,16,2,test,293,32
1,16,2,test,885,411
1,16,2,test,339,13
1,16,2,test,205,189
1,16,2,test,32,2
1,16,2,test,26,20
1,16,2,test,340,203
1,16,2,test,965,188
1,16,2,test,196,147
1,16,2,test,385,248
1,16,2,test,588,437
1,16,2,test,351,92
1,16,2,test,909,898
1,16,2,test,157,16
1,16,2,test,109,37
1,16,2,test,222,60
1,16,2,test,352,40
1,16,2,test,745,166
1,16,2,test,195,91
1,16,2,test,51,10
1,16,2,test,872,145
1,16,2,test,29,5
1,16,2,test,237,141
1,16,2,test,125,20
1,16,2,test,241,16
1,16,3,tr,1055,217
1,16,3,test,247,144
1,16,3,test,723,110
1,16,3,test,442,281
1,16,3,test,10,5
1,16,3,test,229,78
1,16,3,test,858,77
1,16,3,test,6,1
1,16,3,test,256,86
1,16,3,test,178,40
1,16,3,test,214,142
1,16,3,test,803,387
1,16,3,test,111,63
1,16,3,test,608,216
1,16,3,test,314,37
1,16,3,test,293,32
1,16,3,test,885,411
1,16,3,test,339,13
1,16,3,test,205,189
1,16,3,test,32,2
1,16,3,test,26,20
1,16,3,test,340,203
1,16,3,test,965,188
1,16,3,test,196,147
1,16,3,test,385,248
1,16,3,test,351,92
1,16,3,test,909,898
1,16,3,test,157,16
1,16,3,test,222,60
1,16,3,test,352,40
1,16,3,test,745,166
1,16,3,test,195,91
1,16,3,test,51,10
1,16,3,test,872,145
1,16,3,test,29,5
1,16,3,test,237,141
1,16,3,test,125,20
1,16,3,test,241,16
1,16,4,tr,1887,725
1,16,4,test,247,144
1,16,4,test,723,110
1,16,4,test,442,281
1,16,4,test,10,5
1,16,4,test,229,78
1,16,4,test,858,77
1,16,4,test,6,1
1,16,4,test,256,86
1,16,4,test,178,40
1,16,4,test,214,142
1,16,4,test,803,387
1,16,4,test,111,63
1,16,4,test,608,216
1,16,4,test,314,37
1,16,4,test,293,32
1,16,4,test,885,411
1,16,4,test,339,13
1,16,4,test,32,2
1,16,4,test,26,20
1,16,4,test,340,203
1,16,4,test,965,188
1,16,4,test,196,147
1,16,4,test,385,248
1,16,4,test,351,92
1,16,4,test,909,898
1,16,4,test,157,16
1,16,4,test,222,60
1,16,4,test,352,40
1,16,4,test,745,166
1,16,4,test,195,91
1,16,4,test,51,10
1,16,4,test,872,145
1,16,4,test,29,5
1,16,4,test,237,141
1,16,4,test,125,20
1,16,4,test,241,16
1,16,5,tr,2092,914
1,16,5,test,247,144
1,16,5,test,442,281
1,16,5,test,10,5
1,16,5,test,229,78
1,16,5,test,858,77
1,16,5,test,6,1
1,16,5,test,256,86
1,16,5,test,178,40
1,16,5,test,214,142
1,16,5,test,803,387
1,16,5,test,111,63
1,16,5,test,608,216
1,16,5,test,314,37
1,16,5,test,293,32
1,16,5,test,885,411
1,16,5,test,339,13
1,16,5,test,32,2
1,16,5,test,26,20
1,16,5,test,340,203
1,16,5,test,965,188
1,16,5,test,196,147
1,16,5,test,385,248
1,16,5,test,351,92
1,16,5,test,909,898
1,16,5,test,157,16
1,16,5,test,222,60
1,16,5,test,352,40
1,16,5,test,745,166
1,16,5,test,195,91
1,16,5,test,51,10
1,16,5,test,872,145
1,16,5,test,29,5
1,16,5,test,237,141
1,16,5,test,125,20
1,16,5,test,241,16
1,16,6,tr,2815,1024
1,16,6,test,247,144
1,16,6,test,442,281
1,16,6,test,10,5
1,16,6,test,229,78
1,16,6,test,858,77
1,16,6,test,6,1
1,16,6,test,256,86
1,16,6,test,178,40
1,16,6,test,214,142
1,16,6,test,111,63
1,16,6,test,608,216
1,16,6,test,314,37
1,16,6,test,293,32
1,16,6,test,885,411
1,16,6,test,339,13
1,16,6,test,32,2
1,16,6,test,26,20
1,16,6,test,340,203
1,16,6,test,965,188
1,16,6,test,196,147
1,16,6,test,385,248
1,16,6,test,351,92
1,16,6,test,909,898
1,16,6,test,157,16
1,16,6,test,222,60
1,16,6,test,352,40
1,16,6,test,745,166
1,16,6,test,195,91
1,16,6,test,51,10
1,16,6,test,872,145
1,16,6,test,29,5
1,16,6,test,237,141
1,16,6,test,125,20
1,16,6,test,241,16
1,16,7,tr,3618,1411
1,16,7,test,247,144
1,16,7,test,442,281
1,16,7,test,10,5
1,16,7,test,229,78
1,16,7,test,858,77
1,16,7,test,6,1
1,16,7,test,256,86
1,16,7,test,214,142
1,16,7,test,111,63
1,16,7,test,608,216
1,16,7,test,314,37
1,16,7,test,885,411
1,16,7,test,339,13
1,16,7,test,32,2
1,16,7,test,26,20
1,16,7,test,340,203
1,16,7,test,965,188
1,16,7,test,196,147
1,16,7,test,385,248
1,16,7,test,909,898
